match_id,team,player,x,y,outcome,body_part,shot_type
19775,Reading WFC,Molly Bartrip,100.0,39.0,Off T,Right Foot,Open Play
19775,Reading WFC,Remi Allen,99.0,50.0,Post,Right Foot,Open Play
19792,Yeovil Town LFC,Bonnie Horwood,92.0,28.0,Off T,Right Foot,Free Kick
19792,Bristol City WFC,Julie Biesmans,89.0,55.0,Saved,Right Foot,Open Play
19792,Bristol City WFC,Rosella Ayane,99.0,55.0,Wayward,Left Foot,Open Play
19792,Bristol City WFC,Lucy Hope,97.0,27.0,Saved,Right Foot,Open Play
19792,Yeovil Town LFC,Anne-Marie Heatherson,100.0,56.0,Off T,Left Foot,Open Play
19792,Bristol City WFC,Rosella Ayane,101.0,60.0,Saved,Right Foot,Open Play
19792,Bristol City WFC,Carla Humphrey,104.0,52.0,Blocked,Left Foot,Open Play
19792,Bristol City WFC,Julie Biesmans,90.0,37.0,Saved,Right Foot,Free Kick
19792,Bristol City WFC,Lucy Hope,109.0,32.0,Saved,Left Foot,Open Play
19792,Yeovil Town LFC,Anne-Marie Heatherson,116.0,41.0,Goal,Left Foot,Open Play
19792,Bristol City WFC,Lucy Hope,105.0,26.0,Saved,Right Foot,Open Play
