match_id,team,player,x,y,outcome,body_part,shot_type,is_goal,is_header,distance,angle,xG
16095,Levante UD,José Ángel Gómez Campaña,91.3,28.3,Off T,Right Foot,Open Play,0,0,30.99322506613341,0.2182650476698513,0.04486456735322317
16095,Barcelona,Lionel Andrés Messi Cuccittini,95.3,48.2,Off T,Left Foot,Free Kick,0,0,26.025564355072117,0.2658748739491517,0.05894026075390562
16095,Levante UD,Sanjin Prcić,94.9,40.7,Off T,Right Foot,Open Play,0,0,25.109759058979435,0.2893751699318231,0.06283944994767288
16095,Barcelona,Luis Alberto Suárez Díaz,103.3,43.8,Off T,Right Foot,Open Play,0,0,17.12687945890903,0.4117287110789737,0.10040982913356299
16095,Levante UD,Borja Mayoral Moya,105.9,50.2,Saved,Right Foot,Open Play,0,0,17.40258601472781,0.3425196087266542,0.09302678345447224
16095,Levante UD,David Remeseiro Salgueiro,100.3,46.3,Off T,Right Foot,Open Play,0,0,20.682843131445928,0.3348881597037395,0.07997479189264432
16095,Barcelona,Philippe Coutinho Correia,101.2,36.0,Off T,Right Foot,Open Play,0,0,19.220822042774337,0.3688263744413254,0.08806589538246133
16095,Barcelona,Denis Suárez Fernández,109.5,48.5,Saved,Right Foot,Open Play,0,0,13.509256086106296,0.4265998694131904,0.11883094058707964
16095,Levante UD,Sanjin Prcić,100.0,42.7,Blocked,Left Foot,Open Play,0,0,20.18142710513803,0.3558508560390661,0.08340153517908028
16095,Barcelona,Gerard Piqué Bernabéu,109.4,37.4,Goal,Left Foot,Open Play,1,0,10.914210919713796,0.6331225368054971,0.15894408188957063
16095,Levante UD,Sanjin Prcić,95.0,39.7,Saved,Right Foot,Open Play,0,0,25.001799935204662,0.2906942319638849,0.06322604577528697
16120,Getafe,Ángel Luis Rodríguez Díaz,103.7,48.2,Off T,Right Foot,Open Play,0,0,18.246369501903654,0.3573722882442104,0.0909190774912801
16120,Getafe,Vitorino Gabriel Pacheco Antunes,91.0,33.7,Wayward,Left Foot,Open Play,0,0,29.67642161716941,0.2400419629576319,0.048683652576460984
16120,Barcelona,Lionel Andrés Messi Cuccittini,108.5,34.0,Saved,Left Foot,Open Play,0,0,12.971121771072848,0.4979220313271679,0.1296320503656925
16120,Barcelona,Lionel Andrés Messi Cuccittini,117.0,31.0,Goal,Left Foot,Open Play,1,0,9.486832980505138,0.2791808089883538,0.12323347523168171
16120,Barcelona,Luis Alberto Suárez Díaz,117.0,52.0,Saved,Right Foot,Open Play,0,0,12.36931687685298,0.1560231465191894,0.09730548097487975
16120,Barcelona,Gerard Piqué Bernabéu,114.4,35.3,Saved,Left Foot,Open Play,0,0,7.310950690573693,0.7969663289871468,0.2101217887882347
16120,Barcelona,Luis Alberto Suárez Díaz,103.6,31.7,Blocked,Right Foot,Open Play,0,0,18.380696395947577,0.3543795721197496,0.09013389153869193
16120,Barcelona,Luis Alberto Suárez Díaz,100.5,46.9,Goal,Right Foot,Open Play,1,0,20.68477701112584,0.3316739502687227,0.07972467132891477
16120,Getafe,Mauro Wilney Arambarri Rosa,106.8,35.1,Wayward,Right Foot,Open Play,0,0,14.080127840328725,0.4816448284794105,0.1219312174184586
16120,Getafe,Ángel Luis Rodríguez Díaz,102.6,43.9,Off T,Right Foot,Open Play,0,0,17.831713322056302,0.3960829049004212,0.09598432187604898
16120,Getafe,Jaime Mata Arnaiz,118.7,39.4,Goal,Right Foot,Open Play,1,0,1.4317821063276337,2.4436724724799923,0.6580749130789506
16120,Getafe,Mauro Wilney Arambarri Rosa,90.9,45.2,Off T,Right Foot,Open Play,0,0,29.56095397648729,0.242678587310544,0.049067818011047995
16120,Getafe,Ángel Luis Rodríguez Díaz,112.8,51.6,Off T,Right Foot,Open Play,0,0,13.652838532700812,0.2957079006612312,0.1047719724768143
16120,Barcelona,Lionel Andrés Messi Cuccittini,106.1,31.1,Saved,Right Foot,Open Play,0,0,16.505150711217397,0.3742948673882917,0.09962730853193137
16120,Getafe,Leandro Daniel Cabrera Sasía,111.7,35.9,Saved,Head,Open Play,0,1,9.257429448826493,0.6988244435961446,0.17963565690904834
16120,Getafe,Vitorino Gabriel Pacheco Antunes,90.0,29.1,Blocked,Left Foot,Open Play,0,0,31.918803235710453,0.2150402670852303,0.042860560420307815
16120,Barcelona,Lionel Andrés Messi Cuccittini,95.8,30.9,Off T,Left Foot,Free Kick,0,0,25.85440001237701,0.2641092147859209,0.05929651139759471
16120,Barcelona,Lionel Andrés Messi Cuccittini,101.3,42.5,Saved,Left Foot,Open Play,0,0,18.866372200293306,0.3801697028906315,0.0903995110424178
16120,Getafe,Jorge Molina Vidal,107.4,29.0,Blocked,Left Foot,Open Play,0,0,16.726027621644054,0.3333413153523989,0.0949899175916002
16120,Barcelona,Lionel Andrés Messi Cuccittini,92.9,40.1,Saved,Left Foot,Open Play,0,0,27.100184501216955,0.2684826275022179,0.05628338596830166
16120,Barcelona,Clément Lenglet,114.1,38.7,Off T,Head,Open Play,0,1,6.041522986797291,1.079563563332424,0.27446869616961567
16120,Barcelona,Lionel Andrés Messi Cuccittini,88.3,51.0,Off T,Left Foot,Free Kick,0,0,33.55428437621641,0.2056317129388027,0.03938201520619231
16120,Barcelona,Luis Alberto Suárez Díaz,115.2,53.4,Blocked,Right Foot,Open Play,0,0,14.233762678926466,0.183612312357228,0.09206442357930124
16131,Eibar,Sergio Enrich Ametller,112.3,48.1,Wayward,Right Foot,Open Play,0,0,11.17586685675881,0.4680273917716735,0.13601861375325075
16131,Eibar,José Ángel Valdés Díaz,97.9,25.5,Blocked,Right Foot,Open Play,0,0,26.432177360179764,0.2318279775937979,0.055983132117834046
16131,Eibar,Anaitz Arbilla Zabala,108.2,41.9,Wayward,Head,Open Play,0,1,11.951987282456416,0.5883932541463206,0.14653417566004054
16131,Barcelona,Luis Alberto Suárez Díaz,107.2,29.2,Goal,Right Foot,Open Play,1,0,16.747537132366656,0.337396646137625,0.09526057581276098
16131,Eibar,Gonzalo Escalante,99.3,42.3,Blocked,Left Foot,Open Play,0,0,20.82738581771606,0.3459464061821996,0.08030265639034609
16131,Eibar,Sergio Enrich Ametller,107.9,43.0,Off T,Head,Open Play,0,1,12.466354719804816,0.5576518656607774,0.13962237078178547
16131,Barcelona,Sergi Roberto Carnicer,112.5,48.2,Off T,Head,Open Play,0,1,11.112605455067683,0.4625774095321065,0.13571626849182494
16131,Eibar,Fabián Ariel Orellana Valenzuela,95.4,47.8,Off T,Left Foot,Open Play,0,0,25.806975801127876,0.2692290067612273,0.05971922489123839
16131,Barcelona,Lionel Andrés Messi Cuccittini,110.5,30.6,Goal,Left Foot,Open Play,1,0,13.364505228402582,0.3983992652837692,0.11653649205078913
16131,Eibar,Joan Jordán Moreno,98.7,27.7,Blocked,Right Foot,Open Play,0,0,24.59634119132356,0.2576966033050442,0.06237183972255692
